ID,Title,Author,Summary,Goodreads Rating,Amazon Link,Cover Image URL,Personalized Explanation,Tags,Difficulty Level,Industry Focus,Learning Style,ISBN,Has Cover
1,The Design of Everyday Things: Revised and Expanded Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/sm292jjil2,https://images-na.ssl-images-amazon.com/images/P/0465050654.01.L.jpg,Personalized explanation TBD,"user experience, interaction design, design thinking, visual design, usability testing",beginner,general,framework-driven,0465050654,Yes
2,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Author TBD,Summary TBD,4,https://amazon.com/dp/fmsmfa3okc,https://images-na.ssl-images-amazon.com/images/P/0062273205.01.L.jpg,Personalized explanation TBD,"strategic leadership, decision making, product leadership, team management, conflict resolution",intermediate,general,narrative,0062273205,Yes
3,Thinking in Systems,Author TBD,Summary TBD,4,https://amazon.com/dp/1sw8shs1dz,https://images-na.ssl-images-amazon.com/images/P/1603580557.01.L.jpg,Personalized explanation TBD,"strategic thinking, product development lifecycle, decision making, data analysis, business intelligence",advanced,general,theoretical,1603580557,Yes
4,Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Author TBD,Summary TBD,4,https://amazon.com/dp/5pdggjpm6j,https://images-na.ssl-images-amazon.com/images/P/1948836008.01.L.jpg,Personalized explanation TBD,"strategic leadership, influence without authority, team management, decision making, professional development",intermediate,general,narrative,1948836008,Yes
5,"Thinking, Fast and Slow",Author TBD,Summary TBD,4,https://amazon.com/dp/3hpw0iw72p,https://images-na.ssl-images-amazon.com/images/P/0374533555.01.L.jpg,Personalized explanation TBD,"decision making, user research, problem validation, a/b testing, user analytics",advanced,general,theoretical,0374533555,Yes
6,Scaling People: Tactics for Management and Company Building,Author TBD,Summary TBD,4,https://amazon.com/dp/ivvdj2lpie,https://images-na.ssl-images-amazon.com/images/P/1736096802.01.L.jpg,Personalized explanation TBD,"organizational design, team management, strategic leadership, stakeholder management, mentoring",advanced,general,reference-style,1736096802,Yes
7,Influence: The Psychology of Persuasion,Author TBD,Summary TBD,4,https://amazon.com/dp/2pgqdlr5cx,https://images-na.ssl-images-amazon.com/images/P/006124189X.01.L.jpg,Personalized explanation TBD,"storytelling, user research, product positioning, go-to-market strategy, presentation skills",beginner,general,narrative,006124189X,Yes
8,The Goal: A Process of Ongoing Improvement,Author TBD,Summary TBD,4,https://amazon.com/dp/59najt88zf,https://images-na.ssl-images-amazon.com/images/P/0884271951.01.L.jpg,Personalized explanation TBD,"product development lifecycle, metrics & kpis, continuous delivery, experimentation, strategic thinking",intermediate,general,case studies,0884271951,Yes
9,Replacing Guilt: Minding Our Way,Author TBD,Summary TBD,4,https://amazon.com/dp/0omctuebs3,https://images-na.ssl-images-amazon.com/images/P/0990476302.01.L.jpg,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative,0990476302,Yes
10,Good Strategy Bad Strategy: The Difference and Why It Matters,Author TBD,Summary TBD,4,https://amazon.com/dp/6t2jfuui6y,https://images-na.ssl-images-amazon.com/images/P/0307886239.01.L.jpg,Personalized explanation TBD,"strategic thinking, product vision, product roadmap, business model, competitive analysis",intermediate,general,framework-driven,0307886239,Yes
11,The Alignment Problem: Machine Learning and Human Values,Author TBD,Summary TBD,4,https://amazon.com/dp/2mbwprmurv,https://images-na.ssl-images-amazon.com/images/P/0393635821.01.L.jpg,Personalized explanation TBD,"strategic thinking, decision making, ai & emerging tech, product leadership, ethnographic research",advanced,general,theoretical,0393635821,Yes
12,High Output Management,Author TBD,Summary TBD,4,https://amazon.com/dp/hpk7eywj56,https://images-na.ssl-images-amazon.com/images/P/0679722884.01.L.jpg,Personalized explanation TBD,"team management, metrics & kpis, strategic leadership, organizational design, product development lifecycle",intermediate,general,framework-driven,0679722884,Yes
