title,author,summary,goodreads_rating,amazon_link,cover_image,difficulty_level,tags,industry_focus,learning_style
"Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking","Foster Provost, Tom Fawcett","A guide to understanding data science concepts and how to apply them to business and product decisions.",4.1,"https://www.amazon.com/dp/1449361324","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"data science, analytics, data mining, business intelligence","general","theoretical, practical"
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","Wes McKinney","A practical guide to data analysis using Python, essential for product managers working with data.",4.2,"https://www.amazon.com/dp/1491957662","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"python, data analysis, pandas, numpy, technical skills","general","practical, technical"
"Storytelling with Data: A Data Visualization Guide for Business Professionals","Cole Nussbaumer Knaflic","A guide to creating effective data visualizations and telling compelling stories with data.",4.2,"https://www.amazon.com/dp/1119002257","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"data visualization, storytelling, communication, analytics","general","practical, case_studies"
"Data Story: Explain Data and Inspire Action Through Story","Nancy Duarte","A guide to using storytelling techniques to communicate data insights and drive action.",4.1,"https://www.amazon.com/dp/1119483491","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"storytelling, data communication, presentation, insights","general","practical, case_studies"
"SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights","Cathy Tanimura","A guide to using SQL for data analysis and extracting insights from databases.",4.1,"https://www.amazon.com/dp/1492088781","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"sql, data analysis, databases, technical skills","general","practical, technical"
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","Martin Kleppmann","A comprehensive guide to designing scalable data systems and understanding data architecture.",4.2,"https://www.amazon.com/dp/1449373321","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"data systems, scalability, architecture, technical skills","general","theoretical, technical"
"Building Microservices: Designing Fine-Grained Systems","Sam Newman","A guide to designing and building microservices architectures for scalable product development.",4.1,"https://www.amazon.com/dp/1491950358","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"microservices, architecture, technical skills, scalability","general","theoretical, technical"
"Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","A guide to writing clean, maintainable code and understanding software development best practices.",4.4,"https://www.amazon.com/dp/0132350884","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"clean code, software development, best practices, technical skills","general","practical, technical"
"The Pragmatic Programmer: Your Journey to Mastery","David Thomas, Andrew Hunt","A comprehensive guide to software development practices and becoming a better programmer.",4.3,"https://www.amazon.com/dp/0135957052","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"programming, software development, best practices, technical skills","general","practical, technical"
"Refactoring: Improving the Design of Existing Code","Martin Fowler","A guide to improving code quality and maintainability through systematic refactoring techniques.",4.2,"https://www.amazon.com/dp/0134757599","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"refactoring, code quality, software development, technical skills","general","practical, technical"
"Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","A classic guide to software design patterns and object-oriented design principles.",4.2,"https://www.amazon.com/dp/0201633612","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"design patterns, object-oriented design, software architecture, technical skills","general","theoretical, technical"
"Head First Design Patterns: A Brain-Friendly Guide","Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra","An accessible guide to software design patterns using visual learning techniques.",4.2,"https://www.amazon.com/dp/0596007124","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"design patterns, software design, learning, technical skills","general","practical, technical"
"Domain-Driven Design: Tackling Complexity in the Heart of Software","Eric Evans","A guide to designing software systems based on domain knowledge and business understanding.",4.2,"https://www.amazon.com/dp/0321125215","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"domain-driven design, software architecture, business modeling, technical skills","general","theoretical, technical"
