id,title,author,summary,goodreads_rating,amazon_link,cover_image,personalized_explanation,tags,difficulty_level,industry_focus,learning_style
1,The Design of Everyday Things: Revised and Expanded Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/sm292jjil2,,Personalized explanation TBD,"user experience, interaction design, design thinking, visual design, usability testing",beginner,general,framework-driven
2,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Author TBD,Summary TBD,4,https://amazon.com/dp/fmsmfa3okc,,Personalized explanation TBD,"strategic leadership, decision making, product leadership, team management, conflict resolution",intermediate,general,narrative
3,Thinking in Systems,Author TBD,Summary TBD,4,https://amazon.com/dp/1sw8shs1dz,,Personalized explanation TBD,"strategic thinking, product development lifecycle, decision making, data analysis, business intelligence",advanced,general,theoretical
4,Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Author TBD,Summary TBD,4,https://amazon.com/dp/5pdggjpm6j,,Personalized explanation TBD,"strategic leadership, influence without authority, team management, decision making, professional development",intermediate,general,narrative
5,"Thinking, Fast and Slow",Author TBD,Summary TBD,4,https://amazon.com/dp/3hpw0iw72p,,Personalized explanation TBD,"decision making, user research, problem validation, a/b testing, user analytics",advanced,general,theoretical
6,Scaling People: Tactics for Management and Company Building,Author TBD,Summary TBD,4,https://amazon.com/dp/ivvdj2lpie,,Personalized explanation TBD,"organizational design, team management, strategic leadership, stakeholder management, mentoring",advanced,general,reference-style
7,Influence: The Psychology of Persuasion,Author TBD,Summary TBD,4,https://amazon.com/dp/2pgqdlr5cx,,Personalized explanation TBD,"storytelling, user research, product positioning, go-to-market strategy, presentation skills",beginner,general,narrative
8,The Goal: A Process of Ongoing Improvement,Author TBD,Summary TBD,4,https://amazon.com/dp/59najt88zf,,Personalized explanation TBD,"product development lifecycle, metrics & kpis, continuous delivery, experimentation, strategic thinking",intermediate,general,case studies
9,Replacing Guilt: Minding Our Way,Author TBD,Summary TBD,4,https://amazon.com/dp/0omctuebs3,,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative
10,Good Strategy Bad Strategy: The Difference and Why It Matters,Author TBD,Summary TBD,4,https://amazon.com/dp/6t2jfuui6y,,Personalized explanation TBD,"strategic thinking, product vision, product roadmap, business model, competitive analysis",intermediate,general,framework-driven
11,The Alignment Problem: Machine Learning and Human Values,Author TBD,Summary TBD,4,https://amazon.com/dp/2mbwprmurv,,Personalized explanation TBD,"strategic thinking, decision making, ai & emerging tech, product leadership, ethnographic research",advanced,general,theoretical
12,High Output Management,Author TBD,Summary TBD,4,https://amazon.com/dp/hpk7eywj56,,Personalized explanation TBD,"team management, metrics & kpis, strategic leadership, organizational design, product development lifecycle",intermediate,general,framework-driven
13,The Power Law: Venture Capital and the Making of the New Future,Author TBD,Summary TBD,4,https://amazon.com/dp/kwv3h90lgc,,Personalized explanation TBD,"business model, strategic thinking, b2b products, market research, go-to-market strategy",intermediate,general,narrative
14,Flow: The Psychology of Optimal Experience,Author TBD,Summary TBD,4,https://amazon.com/dp/oa5d0tqwbg,,Personalized explanation TBD,"professional development, decision making, mentoring, team management",advanced,general,theoretical
15,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Author TBD,Summary TBD,4,https://amazon.com/dp/bwhmtjn0fy,,Personalized explanation TBD,"strategic leadership, team management, product leadership, organizational design, storytelling",intermediate,general,narrative
16,The Ten Faces of Innovation: IDEO's Strategies for Beating the Devil's Advocate and Driving Creativity Throughout Your Organization,Author TBD,Summary TBD,4,https://amazon.com/dp/igz6416a6b,,Personalized explanation TBD,"design thinking, innovation, team management, user research, cross-functional collaboration",intermediate,general,framework-driven
17,Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering,Author TBD,Summary TBD,4,https://amazon.com/dp/0w2lg030a1,,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative
18,The Ideal Executive,Author TBD,Summary TBD,4,https://amazon.com/dp/gv9au49g76,,Personalized explanation TBD,"strategic leadership, executive communication, organizational design, team management",intermediate,general,theoretical
19,The Undoing Project: A Friendship That Changed Our Minds,Author TBD,Summary TBD,4,https://amazon.com/dp/g03ip5ma5i,,Personalized explanation TBD,"decision making, user research, a/b testing, user analytics, data analysis",intermediate,general,narrative
20,Setting the Table: The Transforming Power of Hospitality in Business,Author TBD,Summary TBD,4,https://amazon.com/dp/44p1knz6l7,,Personalized explanation TBD,"stakeholder management, user experience, public speaking, storytelling, professional development",beginner,general,narrative
21,Scientific Advertising: Original Classic Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/s23su0frf,,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, a/b testing, user analytics",beginner,general,framework-driven
