title,tags
"The Design of Everyday Things: Revised and Expanded Edition","user experience, interaction design, design thinking, visual design, usability testing"
"The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers","strategic leadership, decision making, product leadership, team management, conflict resolution"
"Thinking in Systems","strategic thinking, product development lifecycle, decision making, data analysis, business intelligence"
"Commitments of Conscious Leadership: A New Paradigm for Sustainable Success","strategic leadership, influence without authority, team management, decision making, professional development"
"Thinking, Fast and Slow","decision making, user research, problem validation, a/b testing, user analytics"
"Scaling People: Tactics for Management and Company Building","organizational design, team management, strategic leadership, stakeholder management, mentoring"
"Influence: The Psychology of Persuasion","storytelling, user research, product positioning, go-to-market strategy, presentation skills"
"The Goal: A Process of Ongoing Improvement","product development lifecycle, metrics & kpis, continuous delivery, experimentation, strategic thinking"
"Replacing Guilt: Minding Our Way","professional development, decision making, career transition, mentoring"
"Good Strategy Bad Strategy: The Difference and Why It Matters","strategic thinking, product vision, product roadmap, business model, competitive analysis"
"The Alignment Problem: Machine Learning and Human Values","strategic thinking, decision making, ai & emerging tech, product leadership, ethnographic research"
"High Output Management","team management, metrics & kpis, strategic leadership, organizational design, product development lifecycle"
"The Power Law: Venture Capital and the Making of the New Future","business model, strategic thinking, b2b products, market research, go-to-market strategy"
"Flow: The Psychology of Optimal Experience","professional development, decision making, mentoring, team management"
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","strategic leadership, team management, product leadership, organizational design, storytelling"
"The Ten Faces of Innovation: IDEO's Strategies for Beating the Devil's Advocate and Driving Creativity Throughout Your Organization","design thinking, innovation, team management, user research, cross-functional collaboration"
"Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering","professional development, decision making, career transition, mentoring"
"The Ideal Executive","strategic leadership, executive communication, organizational design, team management"
"The Undoing Project: A Friendship That Changed Our Minds","decision making, user research, a/b testing, user analytics, data analysis"
"Setting the Table: The Transforming Power of Hospitality in Business","stakeholder management, user experience, public speaking, storytelling, professional development"
"Scientific Advertising: Original Classic Edition","product positioning, go-to-market strategy, market research, a/b testing, user analytics"
"The Creative Act: A Way of Being","storytelling, professional development, innovation, mentoring, presentation skills"
"Inside Paragraphs: Typographic Fundamentals","visual design, written communication, user experience, information architecture"
"The Origin of Wealth: The Radical Remaking of Economics and What it Means for Business and Society","business model, strategic thinking, market research, product vision"
"Misbehaving: The Making of Behavioral Economics","decision making, a/b testing, user analytics, strategic thinking"
"Small Data: The Tiny Clues That Uncover Huge Trends","ethnographic research, user research, market research, problem validation, customer discovery"
"What Got You Here Won't Get You There: How Successful People Become Even More Successful","professional development, mentoring, strategic leadership, executive communication"
"Mindset: The New Psychology of Success","professional development, career transition, mentoring, decision making"
"The Conversation: How Seeking and Speaking the Truth About Racism Can Radically Transform Individuals and Organizations","strategic leadership, team management, executive communication, professional development, cross-functional collaboration"
