title,difficulty_level,learning_style
"The Design of Everyday Things: Revised and Expanded Edition",beginner,framework-driven
"The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers",intermediate,narrative
"Thinking in Systems",advanced,theoretical
"Commitments of Conscious Leadership: A New Paradigm for Sustainable Success",intermediate,narrative
"Thinking, Fast and Slow",advanced,theoretical
"Scaling People: Tactics for Management and Company Building",advanced,reference-style
"Influence: The Psychology of Persuasion",beginner,narrative
"The Goal: A Process of Ongoing Improvement",intermediate,case studies
"Replacing Guilt: Minding Our Way",beginner,narrative
"Good Strategy Bad Strategy: The Difference and Why It Matters",intermediate,framework-driven
"The Alignment Problem: Machine Learning and Human Values",advanced,theoretical
"High Output Management",intermediate,framework-driven
"The Power Law: Venture Capital and the Making of the New Future",intermediate,narrative
"Flow: The Psychology of Optimal Experience",advanced,theoretical
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",intermediate,narrative
"The Ten Faces of Innovation: IDEO's Strategies for Beating the Devil's Advocate and Driving Creativity Throughout Your Organization",intermediate,framework-driven
"Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering",beginner,narrative
"The Ideal Executive",intermediate,theoretical
"The Undoing Project: A Friendship That Changed Our Minds",intermediate,narrative
"Setting the Table: The Transforming Power of Hospitality in Business",beginner,narrative
"Scientific Advertising: Original Classic Edition",beginner,framework-driven
"The Creative Act: A Way of Being",beginner,narrative
"Inside Paragraphs: Typographic Fundamentals",beginner,reference-style
"The Origin of Wealth: The Radical Remaking of Economics and What it Means for Business and Society",advanced,theoretical
"Misbehaving: The Making of Behavioral Economics",intermediate,narrative
"Small Data: The Tiny Clues That Uncover Huge Trends",intermediate,case studies
"What Got You Here Won't Get You There: How Successful People Become Even More Successful",beginner,framework-driven
"Mindset: The New Psychology of Success",beginner,narrative
"The Conversation: How Seeking and Speaking the Truth About Racism Can Radically Transform Individuals and Organizations",intermediate,narrative
"The Person and the Situation: Perspectives of Social Psychology",advanced,theoretical
"Deep Work: Rules for Focused Success in a Distracted World",beginner,framework-driven
"The Mission Critical Core/Context Model For Product Managers",intermediate,framework-driven
"Creating Intelligent Teams",intermediate,case studies
"Bad Leadership: What It Is, How It Happens, Why It Matters",intermediate,case studies
"The Five Temptations of a CEO: A Leadership Fable",beginner,narrative
"The Five Dysfunctions of a Team: A Leadership Fable",beginner,narrative
"How Brands Grow: What Marketers Don't Know",advanced,theoretical
"Escaping the Build Trap: How Effective Product Management Creates Real Value",intermediate,framework-driven
"The Practice of Management",advanced,reference-style
"The Challenger Sale: Taking Control of the Customer Conversation",intermediate,framework-driven
"Leadership: In Turbulent Times",advanced,case studies
"Leadership and Self-Deception: Getting Out of the Box",beginner,narrative
"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity",intermediate,narrative
"Inspired: How to Create Tech Products Customers Love",intermediate,framework-driven
"Empowered: Ordinary People, Extraordinary Products",intermediate,framework-driven
"Continuous Discovery Habits",intermediate,framework-driven
"Lean Product and Lean Analytics",intermediate,framework-driven
"The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses",beginner,framework-driven
"The Four Steps to the Epiphany: Successful Strategies for Products that Win",advanced,framework-driven
"Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days",beginner,framework-driven
"Loonshots",intermediate,narrative
"The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail",advanced,case studies
"The Jobs To Be Done Playbook",intermediate,framework-driven
"Lean UX",intermediate,framework-driven
"Thinking in Bets",intermediate,narrative
"Design Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days",beginner,framework-driven
"Interviewing Users",beginner,framework-driven
"This is Service Design Doing",advanced,reference-style
"The Manager's Path",intermediate,framework-driven
"A Philosophy of Software Design",advanced,theoretical
"System Design Interview: An Insider's Guide",advanced,reference-style
"Think Like a UX Researcher",intermediate,framework-driven
"Making Things Happen",intermediate,framework-driven
"Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity",beginner,narrative
"Selling to Big Companies: Winning Strategies for Landing the Clients You Want",intermediate,framework-driven
"Hooked: How to Build Habit-Forming Products",beginner,framework-driven
"The Mom Test",beginner,framework-driven
"Build: An Unorthodox Guide to Making Things Worth Making",intermediate,narrative
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",intermediate,case studies
"Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets",intermediate,case studies
"Blue Ocean Strategy",intermediate,framework-driven
"Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers",intermediate,framework-driven
"Product-Led Growth: How to Build a Product That Sells Itself",intermediate,framework-driven
"Obviously Awesome: How to Nail Product Positioning So Customers Get It, Buy It, Love It",beginner,framework-driven
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",intermediate,case studies 
